Review,Review Text,Description,Annotated Text,hallucination_groundtruth,Valence,Action,Object,Feature,Ability,Agent,Environment,Product.1,Review Text Original,Description Original,STS Score,Hallucination Confidence Score
http://linked.aub.edu.lb/actionrec/Review/f4e85acb2e6e4cf3fe15fceceb2d8af5,best gaming laptop thus far graphics amazing consistently stay 165 fps highly recommend laptop also prefer one others brand due space lots space,screen size play games,Best gaming laptop I have had thus far.,1,,PlayAction,Leisure,ScreenSize,PlayingAbility,Person,Home,13m_bd0023dx,{'Best gaming laptop I have had thus far. Graphics are amazing and I consistently stay at 165 fps highly recommend this laptop I also prefer this one over others of this brand due to space lots of space'},The person likes the screen size of this laptop to play games on it,0.502993106842041,0.49
http://linked.aub.edu.lb/actionrec/Review/01d5c848f1d9074ddb993394970f3005,first dell computer ive ever purchased i always purchased gp past screen smaller previous computer great picture quality really like it,picture quality even though screen smaller previous,8b4dc769370afa4d1b67c81b40417c0a,0,,,,,,,,,This is the first Dell computer I^ve ever purchased (I always purchased GP in the past). The screen is smaller than my previous computer but it has great picture quality.  Really like it.,The person likes the picture quality of this laptop even though the screen is smaller than their previous laptop,0.5472743511199951,0.45
http://linked.aub.edu.lb/actionrec/Review/27f74bd6aff52e933f36437bde05ac32,the laptop performs expected lightweight screen size,use weight perfect use go,Performs as expected.,1,,UseAction,WorkTasks,Weight,UsingAbility,Person,Universal,13m_bd0023dx,{'The laptop performs as expected.  Very lightweight for the screen size.'},The person likes to use this laptop because its weight is perfect to use on the go.,0.22972142696380615,0.77
http://linked.aub.edu.lb/actionrec/Review/f9a1210564051100c9d7905bc96a0059,issues far runs smoothly would highly recommend laptop,runs smoothly,135c749fb3ca0fbf4121b8399162933c,0,,,,,,,,,No issues so far and runs smoothly i would highly recommend this laptop.,The person likes that this laptop runs smoothly,0.4850429594516754,0.51
http://linked.aub.edu.lb/actionrec/Review/d88db3849dddacd70a9bc1536717831c,this well made computer latest system many features apple fan know pros cons geek squad helped resolve issues inherited prior laptop data also transferred data made new laptop use right away,work,work,1,,WorkAction,WorkTasks,Speed,WorkingAbility,Person,Universal,13m_bd0023dx,"{'This is a well made computer, and has the latest system with many features. If you are an Apple fan you know all about the pros and cons. The Geek Squad helped resolve some issues inherited from prior laptop data, and also transferred all the data. This made it so the new laptop was in use right away.'}",The person likes to work on this laptop,0.005342476069927216,0.99
http://linked.aub.edu.lb/actionrec/Review/2bf9089f59f074a1a31edb52a51d52cf,very satisfied touch screen great really like aio option,touchscreen feature teach,Very Satisfied. 1 touch screen is great.,1,,WorkAction,WorkTasks,TouchScreen,WorkingAbility,Teacher,Home,13m_bd0023dx,{'Very Satisfied.  Touch screen is great.  Really like AIO option.'},The person likes the touchscreen feature of this laptop to teach.,0.4544413089752197,0.54
http://linked.aub.edu.lb/actionrec/Review/5dd0be0b4427388af92c4c83c7def146,i excited using new 24 touch screen one adjustable height easier use monitor,heshe adjust height,its easier to use and monitor.,1,,AdjustAction,,Height,AdjustingAbility,Person,Universal,13m_bd0023dx,{'i am excited by using my new 24 touch screen all in one with adjustable height. its easier to use and monitor.'},The person likes that he/she can adjust the height of this laptop,0.2733120322227478,0.72
http://linked.aub.edu.lb/actionrec/Review/9139e39849813f6977abb7d370d75e8b,amazing comouter runs perfect without lag great product really recommend,runs perfectly without lag,e79a6239d61773f4bfbafc95a711e9cf,0,,,,,,,,,Amazing comouter! Runs perfect without any lag. Great product really recommend!,The person likes that this laptop runs perfectly without any lag,0.5604146122932434,0.43
http://linked.aub.edu.lb/actionrec/Review/7fb3c6c74654f9b42aff27529b23cb90,i love all one hp computer old computer one its fancy chic new one got good deal price points proud upgrade would recommend computer everyone,work projects,I like to work on some projects,1,,WorkAction,WorkTasks,Speaker,WorkingAbility,Person,Universal,13m_bd0023dx,"{'I love my ""All in one HP Computer"". My old computer is an all in one but it""s not as fancy and chic as the new one. I got a good deal and price was on points. I proud of myself for the upgrade. I would recommend this computer to everyone.'}",The person likes to work on some projects with this laptop,0.05366792157292366,0.94
http://linked.aub.edu.lb/actionrec/Review/73a814c0779c2be86c92d1a90737db05,excellent customer service two gentlemen recommended friends unfortunately forgot names since traveling day two went beyond real assets best buy,work projects,I would recommend this 2-1 to anyone looking for a new light weight laptop with touch screen!,1,,WorkAction,WorkTasks,,WorkingAbility,Person,Home,13m_bd0023dx,"{'Excellent customer service by the two gentlemen. I have recommended them to my friends, unfortunately I forgot their names since I was traveling the same day. Two of them went above and beyond. They are real assets to Best Buy!!!!'}",The person likes to work on some projects with this laptop,-0.035852331668138504,1.0
