Review,Review Text,Description,Annotated Text,hallucination_groundtruth,Valence,Action,Object,Feature,Ability,Agent,Environment,Product.1,Review Text Original,Description Original,STS Score,Hallucination Confidence Score
http://linked.aub.edu.lb/actionrec/Review/63926cb0cb992d6349ba96aa46b7a21c,good choice issues delivery services best buy ,like buy heshe issues delivery services best buy,9ac8ca0b993ea535e3c443ec7dc6ad6d,0,,,,,,,,,"Good choice,, but I have issues with delivery and the services with best buy ..",The person dont like to buy this laptop because he/she had issues with the delivery and the services from Best Buy,0.7582148313522339,0.24
http://linked.aub.edu.lb/actionrec/Review/9914dd9694bf5014a865eb97e862a5f1,excelent gamers relative low costi buy again,price,4e3f9ca8b2f86111791bede8bc3fc701,0,,,,,,,,,Excelent for gamers at a relative low cost.i will buy it again.,The person likes the price of this laptop,0.3517417013645172,0.64
http://linked.aub.edu.lb/actionrec/Review/84369d9d9b1f2d459f4be80132286716,nice computer good deal 1k sale butbhad return neednbigger backpacks carry around,like big carry around backpack,1acd67ac3f4f65e254949c50438eec89,0,,,,,,,,,Nice computer good deal at 1k on sale butbhad to return it as neednbigger backpacks to carry it around,The person dont like that it is too big to carry this laptop around in a backpack,0.6544196605682373,0.34
http://linked.aub.edu.lb/actionrec/Review/ee0ae264a7d4152f294c82afba2c8c36,good rig ez upgraded ram ssd little heavy fans r loud runs well,like bit heavy carry around,39b197e2686a3a52f6a850bf725526c9,0,,,,,,,,,Good rig. Ez upgraded RAM and ssd. A little heavy and fans r loud but it runs well.,The person dont like that this laptop is a bit heavy to carry around,0.22526438534259796,0.77
http://linked.aub.edu.lb/actionrec/Review/147c64428dac7707a8adeb4c9d72c93b,awesome laptop fast beautiful heavy highly recommend,lightweight carry around,8905b031906b40a5d72cbc2241304140,0,,,,,,,,,Awesome laptop! its fast its beautiful and its not too heavy. highly recommend.,The person likes that this laptop is lightweight to carry around,0.25608766078948975,0.74
http://linked.aub.edu.lb/actionrec/Review/6bda5d28ac86b47142a2fec3e8a74514,acer software thats included exactly reliable works times doesnt computer either need reboot software needs eliminated task manager charger also excessively large 330w charger overkill 4060 thunderbolt charging computer recognize full charge order actually game also game without charger plugged not like youre supposed to fast reliable screen bright full exactly supposed to,like laptops charger excessively large,0fe384ea569673766097ff2c481eaf17,0,,,,,,,,,"Acer software thats included is not exactly the most reliable. It works most of times but when it doesnt the computer will either need a reboot or the software needs to be eliminated from task manager. The charger is also excessively large. 330w charger is overkill for a 4060. It has thunderbolt charging but the computer will not recognize it as a full charge in order to actually game. It also does not game without the charger being plugged in (not like you""re supposed to). Other than that its fast, reliable, screen is bright and full, and does exactly what its supposed to!",The person dont like that this laptops charger is excessively large ,0.553974986076355,0.44
http://linked.aub.edu.lb/actionrec/Review/92f488b7f8e1be3a350350b199c66025,laptop built well feels like quality screen really nice charging port directly middle back ideal deal breaker,charging port directly middle back,fd66d09d99a194ec02555acff67cf5db,0,,,,,,,,,Laptop is built well and feels like quality. Screen is really nice. Charging port is directly in the middle on the back which is not ideal but not a deal breaker.,The person likes that this laptop has a charging port directly in the middle of the back,0.6821160316467285,0.31
http://linked.aub.edu.lb/actionrec/Review/28fd9b662b683b4d805c49bf5a6878af,lots control fansgpu restrictions also conntected power forget laptop well performs,connected power forgets,3d67d570468f350f33a053c7fd89afc4,0,,,,,,,,,"Lots of control over fans,gpu and no restrictions. Also when conntected to power you forget its a laptop with how well it performs",The person likes that this laptop can be connected to power and forgets that it is a laptop,0.5612844228744507,0.43
http://linked.aub.edu.lb/actionrec/Review/481dfcc99a0041990e7ecbc58b2ad1b0,fast great gaming djing works great bought for,used djing,814f209ddffeb4a6c491744fafdd29dc,0,,,,,,,,,"Fast, great for gaming and DJ""ing. Works great for what I bought it for.",The person likes that this laptop can be used for DJ-ing,0.7726731896400452,0.22
http://linked.aub.edu.lb/actionrec/Review/087d9a58e1f70ef1c6df3b280ecff1ad,good laptop runs autodesk revit pretty fast mainly got run design software holding pretty good doesnt get super hot either,run design software,c8df6ccd32de91b3e6012552f864b358,0,,,,,,,,,Good laptop. Runs Autodesk Revit pretty fast. I mainly got it to run my design software. And its been holding up pretty good. Doesn^t get super hot either.,The person likes that this laptop can run design software,0.37788358330726624,0.62
