Review,Product,Review Text,Valence,Description,Action,Object,Feature,Ability,Agent,Environment,Product.1,Annotated Text
http://linked.aub.edu.lb/actionrec/Review/01a5a0514a3dd47bf38a78a8f4c242fe,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'I am really enjoying this laptop, so much more than I expected'}",,The person likes the screen size of this laptop to teach in zoom meetings,TeachAction,WorkTasks,ScreenSize,TeachingAbility,Person,Home,13m_bd0023dx,I am really enjoying this laptop
http://linked.aub.edu.lb/actionrec/Review/e8e6ac4b2072079ecfd2578bcfbfd752,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'The laptop is very nice looking and performs great. Display is clean and clear and runs applications smoothly. My mom loves it.'},,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,,WorkingAbility,Person,Home,13m_bd0023dx,I would recommend this 2-1 to anyone looking for a new light weight laptop with touch screen!
http://linked.aub.edu.lb/actionrec/Review/bb1fd9e1a63796226c2a07f4fe7fdb65,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'Super slim and lightweight.  Very fast.  Outstanding color.  Fingerprint on/off works great.  I like the number keypad on the side. Still experimenting, but so far, loving it.  Looking forward to traveling with it.  Would recommend.'}",,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,Speed,WorkingAbility,Person,Home,13m_bd0023dx,work in some projects on the side
http://linked.aub.edu.lb/actionrec/Review/842aa7a0ebf7454f88064d74aea0e20d,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'So far I am really enjoying this laptop/ipad Samsung is amazing'},,The person likes the sound quality of the speaker of this laptop,SpeakAction,Sound,SpeakerQuality,SpeakingAbility,Person,Universal,GA00519_US,Its great for streaming music and movies
http://linked.aub.edu.lb/actionrec/Review/66e4ac759424f94621c3e4250ad0afa6,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'This really depends on what you""re looking for. I love it for the drawing, however the build quality made me nervous that I might snap it if I hold too tight. Overall the computer was fast, but as others have said the fans are on almost always and depending on what you""re doing; you might start feeling that heat. It""s up to the buyer what they""re looking for and willing to trade off; but for me the worry of breaking it was a bit too much for me.'}",,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,,WorkingAbility,Person,Universal,13m_bd0023dx,work in some projects on the side
http://linked.aub.edu.lb/actionrec/Review/b07c960e2634aae9b787bbbe2a326a1a,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'I really want to like, however it""s just not worth the price yet.  Great look! Very slick, however the screen is bowing in the center, not sure why. Does not pair with phone easily. The touch screen will not work correctly. 10/10 would recommend this computer if Samsung can work out the issues.'}",,The person dont like that this laptops screen is bowing in the center and the touch screen doesnt work properly,WorkAction,WorkTasks,TouchScreen,WorkingAbility,Person,Universal,GA00519_US,The touch screen will not work correctly.
http://linked.aub.edu.lb/actionrec/Review/9e242f378c194cf23894fca824d49953,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'SeI bought the Samsung  GalaxyBook 2 Pro 360 Galaxy Pro a few weeks ago . It^s light fast and great would highly recommend it.'},,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,Speed,WorkingAbility,Person,Home,GA00519_US,I would recommend this 2-1 to anyone looking for a new light weight laptop with touch screen!
http://linked.aub.edu.lb/actionrec/Review/5dfdbe862823324daff277d4cccb2015,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'I am quite pleased with this laptop.  The Samsung - Galaxy Book2 Pro 360 is Great.'},,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,,WorkingAbility,Person,Home,SM_T970NZKAXAR,I like the size of this laptop
http://linked.aub.edu.lb/actionrec/Review/1cfec29d7f91b7f4a81a60914fd38ba5,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'I have had the opportunity to test out this beastly beautiful monster of a laptop and it is truly remarkable. I have no qualms of it whatsoever. Technology really has come a long way over the past 10-15 years.Speed has always been a big factor for me. I would always upgrade old laptops with SSDs and it would instantly add new life for a few years to that machine. But nothing beats a fresh and new laptop!Processing speed is always preferred to keep up with all the tasks that I do such as photo and video editing, and even playing games, and this can actually keep up to my surprise. The screen flipping is nice and tablet mode is truly a nice luxury. the AMOLED screen quality is very reminiscent of any portable OLED screen you can think of, but better. It""s so clean, I can stare at it all day :D it""s really good for the eyes. I can view really small text with ease.I don""t really understand wifi 6E capabliities but I feel the speed as pretty fast. I do have gigabit internet so that may help.The battery life on this thing is truly amazing. Even though it promises up to 21 hours, I can reliably go on a plane ride and trip for 8  hours with heavy usage and not have to worry about the battery dying.The thing I am disappointed with is the sound, but I shouldn""t expect super amazing speakers when that""s not what this specializes in.Overall, for the price, a super solid device and product that I would recommend to anyone.'}",,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,Speed,WorkingAbility,Person,Home,13m_bd0023dx,I would definitely recommend it
http://linked.aub.edu.lb/actionrec/Review/b715e81b017bf0c28e9fbc7d2c75d664,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'The computer is super lightweight, has a beautiful screen, crisp text, a good keyboard, operates very fast, and sounds twice as loud when Dolby Atmos is engaged which you should do if you test it at Best Buy.'}",,The person likes to work on some projects with this laptop,WorkAction,WorkTasks,Lightweight,WorkingAbility,Person,Home,13m_bd0023dx,I would recommend this 2-1 to anyone looking for a new light weight laptop
